Year,Team,RA/G,ERA,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,WS_Winner
1929,CHW,5.21,4.41,78,5,7,1357.2,1481,792,666,84,505,328,1.463,2.17,0.56,188,153,0.97,29.1,No
1928,CHW,4.68,3.98,88,6,13,1378.0,1518,725,610,66,501,418,1.465,2.73,0.43,186,149,0.97,29.3,No
1927,CHW,4.63,3.91,85,10,8,1367.0,1467,708,594,55,440,365,1.395,2.4,0.36,178,131,0.971,28.3,No
1926,CHW,4.29,3.74,85,11,13,1380.0,1426,665,573,47,506,458,1.4,2.99,0.31,165,122,0.973,28.1,No
1925,CHW,5.0,4.29,70,12,12,1385.1,1579,770,660,69,489,374,1.493,2.43,0.45,200,162,0.968,27.5,No
1924,CHW,5.57,4.74,75,1,11,1370.2,1635,858,722,52,512,360,1.566,2.36,0.34,229,136,0.963,26.2,No
1923,CHW,4.75,4.04,72,5,11,1398.0,1512,741,628,49,535,467,1.464,3.01,0.32,184,138,0.971,26.3,No
1922,CHW,4.46,3.94,86,13,9,1403.2,1472,691,614,57,529,484,1.426,3.1,0.37,155,143,0.975,27.6,No
1921,CHW,5.57,4.94,84,7,9,1365.1,1603,858,749,52,549,392,1.576,2.58,0.34,200,155,0.969,27.5,No
1920,CHW,4.32,3.59,109,9,9,1386.2,1467,665,553,45,405,438,1.35,2.84,0.29,198,142,0.968,29.6,No
1919,CHW,3.81,3.04,88,14,3,1265.2,1245,534,427,24,342,468,1.254,3.33,0.17,176,116,0.969,29.3,No
1918,CHW,3.6,2.73,76,9,8,1126.0,1092,446,342,9,300,349,1.236,2.79,0.07,169,98,0.967,28.6,No
1917,CHW,2.97,2.16,78,22,21,1424.1,1236,463,342,10,413,517,1.158,3.27,0.06,204,117,0.967,28.6,Yes
1916,CHW,3.21,2.36,73,20,15,1412.1,1189,497,371,14,405,644,1.129,4.1,0.09,205,134,0.968,27.4,No
1915,CHW,3.28,2.43,91,16,9,1401.0,1242,509,378,14,350,635,1.136,4.08,0.09,222,95,0.965,27.7,No
1914,CHW,3.57,2.48,74,17,11,1398.2,1207,560,385,15,401,660,1.15,4.25,0.1,299,90,0.955,26.8,No
1913,CHW,3.25,2.33,84,17,8,1360.1,1190,498,352,10,438,602,1.197,3.98,0.07,255,104,0.96,26.9,No
1912,CHW,4.1,3.06,85,14,16,1413.0,1398,648,480,26,426,698,1.291,4.45,0.17,291,102,0.957,28.2,No
1911,CHW,4.05,2.97,85,17,11,1386.1,1349,624,457,22,384,752,1.25,4.88,0.14,252,98,0.961,28.1,No
1910,CHW,3.07,2.03,103,23,7,1421.0,1130,479,320,16,381,785,1.063,4.97,0.1,314,100,0.954,28.2,No
1909,CHW,2.92,2.05,115,26,4,1430.1,1182,464,326,8,340,669,1.064,4.21,0.05,246,101,0.964,26.8,No
1908,CHW,3.01,2.22,107,23,10,1414.0,1165,470,349,11,284,623,1.025,3.97,0.07,232,82,0.966,28.0,No
1907,CHW,3.02,2.22,112,17,9,1406.1,1279,474,347,13,305,604,1.126,3.87,0.08,233,101,0.966,27.5,No
1906,CHW,2.99,2.13,117,32,4,1375.1,1212,460,326,11,255,543,1.067,3.55,0.07,243,80,0.963,26.8,Yes
1905,CHW,2.85,1.99,131,16,0,1427.0,1163,451,315,11,329,613,1.046,3.87,0.07,218,95,0.967,25.9,No
1904,CHW,3.09,2.3,134,26,3,1380.0,1161,482,353,13,303,550,1.061,3.59,0.08,238,95,0.964,25.3,No
1903,CHW,4.44,3.02,114,9,4,1235.0,1233,613,414,23,287,391,1.231,2.85,0.17,297,85,0.949,25.6,No
1902,CHW,4.36,3.41,116,11,0,1221.1,1269,602,463,30,331,346,1.31,2.55,0.22,257,125,0.955,27.7,No
1901,CHW,4.61,2.98,110,11,2,1218.1,1250,631,403,27,312,394,1.282,2.91,0.2,345,100,0.941,26.1,No
2023,CIN,5.07,4.83,0,6,53,1439.1,1426,821,772,222,613,1381,1.417,8.64,1.39,91,125,0.984,27.7,No
2022,CIN,5.03,4.86,1,6,31,1423.1,1366,815,768,213,612,1414,1.39,8.94,1.35,81,115,0.986,27.9,No
2021,CIN,4.69,4.4,1,8,41,1434.1,1330,760,702,206,617,1524,1.357,9.56,1.29,91,125,0.984,28.9,No
2019,CIN,4.39,4.18,0,10,46,1438.0,1270,711,668,214,536,1552,1.256,9.71,1.34,91,124,0.984,28.2,No
2018,CIN,5.06,4.63,1,6,38,1441.0,1491,819,741,228,532,1258,1.404,7.86,1.42,95,144,0.984,27.1,No
2017,CIN,5.36,5.17,2,8,33,1430.0,1442,869,821,248,631,1300,1.45,8.18,1.56,81,132,0.986,27.6,No
2016,CIN,5.27,4.91,2,8,28,1442.0,1457,854,786,258,636,1241,1.451,7.75,1.61,102,142,0.983,27.1,No
2015,CIN,4.65,4.33,2,8,35,1453.1,1436,754,700,177,544,1252,1.362,7.75,1.1,90,131,0.985,27.3,No
2014,CIN,3.78,3.59,5,13,44,1446.0,1282,612,576,163,507,1290,1.237,8.03,1.01,72,120,0.988,28.0,No
2013,CIN,3.64,3.38,5,17,43,1473.2,1294,589,554,170,435,1296,1.173,7.91,1.04,76,131,0.988,27.7,No
2012,CIN,3.63,3.34,9,12,56,1453.0,1356,588,540,152,427,1248,1.227,7.73,0.94,89,113,0.985,27.1,No
2011,CIN,4.44,4.16,4,5,39,1467.2,1414,720,678,185,539,1112,1.331,6.82,1.13,91,146,0.985,27.7,No
2010,CIN,4.23,4.01,4,9,43,1453.0,1404,685,648,158,524,1130,1.327,7.0,0.98,72,142,0.988,28.2,No
2009,CIN,4.46,4.18,6,12,41,1458.1,1420,723,677,188,577,1069,1.369,6.6,1.16,89,161,0.985,29.0,No
2008,CIN,4.94,4.55,2,6,34,1442.1,1542,800,729,201,557,1227,1.455,7.66,1.25,114,156,0.981,28.7,No
2007,CIN,5.27,4.94,6,7,34,1449.2,1605,853,796,198,482,1068,1.44,6.63,1.23,95,155,0.984,29.1,No
2006,CIN,4.94,4.51,9,10,36,1445.2,1576,801,725,213,464,1053,1.411,6.56,1.33,128,139,0.979,29.5,No
2005,CIN,5.45,5.15,2,1,31,1433.0,1657,889,820,219,492,955,1.5,6.0,1.38,104,133,0.983,28.9,No
2004,CIN,5.6,5.19,5,8,47,1443.2,1595,907,832,236,572,992,1.501,6.18,1.47,113,123,0.981,28.5,No
2003,CIN,5.47,5.09,4,5,38,1446.1,1578,886,818,209,590,932,1.499,5.8,1.3,141,152,0.977,28.0,No
2002,CIN,4.78,4.27,2,8,42,1453.2,1502,774,690,173,550,980,1.412,6.07,1.07,120,169,0.981,28.7,No
2001,CIN,5.25,4.77,2,2,35,1442.2,1572,850,765,198,515,943,1.447,5.88,1.24,138,136,0.978,27.4,No
2000,CIN,4.69,4.33,8,7,42,1456.1,1446,765,700,190,659,1015,1.445,6.27,1.17,111,156,0.982,28.5,No
1999,CIN,4.36,3.98,6,11,55,1462.0,1309,711,647,190,636,1081,1.33,6.65,1.17,105,139,0.983,28.0,No
1998,CIN,4.69,4.44,6,8,42,1441.1,1400,760,711,170,573,1098,1.369,6.86,1.06,122,142,0.98,28.0,No
1997,CIN,4.72,4.41,5,8,49,1449.0,1408,764,710,173,558,1159,1.357,7.2,1.07,106,129,0.982,29.6,No
1996,CIN,4.77,4.32,6,8,52,1443.0,1447,773,692,167,591,1089,1.412,6.79,1.04,121,145,0.98,29.2,No
1995,CIN,4.33,4.03,8,10,38,1289.1,1270,623,578,131,424,903,1.314,6.3,0.91,79,140,0.986,28.3,No
1994,CIN,4.26,3.78,6,6,27,1038.1,1037,490,436,117,339,799,1.325,6.93,1.01,73,91,0.983,27.2,No
1993,CIN,4.85,4.51,11,8,37,1434.0,1510,785,718,158,508,996,1.407,6.25,0.99,121,133,0.98,27.9,No
1992,CIN,3.76,3.46,9,11,55,1449.2,1362,609,558,109,470,1060,1.264,6.58,0.68,96,128,0.984,28.1,No
1991,CIN,4.27,3.83,7,11,43,1440.0,1372,691,613,127,560,997,1.342,6.23,0.79,125,131,0.979,27.6,No
1990,CIN,3.69,3.39,14,12,50,1456.1,1338,597,549,124,543,1029,1.292,6.36,0.77,102,126,0.983,27.4,No
1989,CIN,4.27,3.73,16,9,37,1464.1,1404,691,607,125,559,981,1.341,6.03,0.77,121,108,0.98,28.1,No
1988,CIN,3.7,3.35,24,13,43,1455.0,1271,596,541,121,504,934,1.22,5.78,0.75,125,131,0.98,26.7,No
1987,CIN,4.64,4.24,7,6,44,1452.1,1486,752,685,170,485,919,1.357,5.69,1.05,130,137,0.979,28.3,No
1986,CIN,4.43,3.91,14,8,45,1468.0,1465,717,638,136,524,924,1.355,5.66,0.83,140,160,0.978,27.9,No
1985,CIN,4.11,3.71,24,11,45,1451.1,1347,666,598,131,535,910,1.297,5.64,0.81,122,142,0.98,26.4,No
1984,CIN,4.61,4.16,25,6,25,1461.1,1445,747,675,128,578,946,1.384,5.83,0.79,139,116,0.977,26.2,No
1983,CIN,4.38,3.98,34,5,29,1441.1,1365,710,638,135,627,934,1.382,5.83,0.84,114,121,0.981,26.5,No
1982,CIN,4.08,3.66,22,7,31,1460.1,1414,661,594,105,570,998,1.359,6.15,0.65,128,158,0.98,27.2,No
1981,CIN,4.07,3.73,25,14,20,965.2,863,440,400,67,393,593,1.301,5.53,0.62,80,99,0.981,26.8,No
1980,CIN,4.11,3.85,30,12,37,1459.1,1404,670,624,113,506,833,1.309,5.14,0.7,106,144,0.983,26.0,No
1979,CIN,4.0,3.58,27,10,40,1440.1,1415,644,573,103,485,773,1.319,4.83,0.64,124,152,0.98,28.5,No
1978,CIN,4.27,3.81,16,10,46,1448.1,1437,688,613,122,567,908,1.384,5.64,0.76,134,120,0.978,28.3,No
1977,CIN,4.48,4.21,33,12,32,1437.1,1469,725,673,156,544,868,1.401,5.44,0.98,95,154,0.984,29.1,No
1976,CIN,3.91,3.51,33,12,45,1471.0,1436,633,573,100,491,790,1.31,4.83,0.61,102,157,0.984,27.2,No
1975,CIN,3.62,3.37,22,8,50,1459.0,1422,586,546,112,487,663,1.308,4.09,0.69,102,173,0.984,27.6,No
1974,CIN,3.87,3.41,34,11,27,1466.1,1364,631,556,126,536,875,1.296,5.37,0.77,134,151,0.979,27.3,No
1973,CIN,3.83,3.4,39,17,43,1473.0,1389,621,557,135,518,801,1.295,4.89,0.82,115,162,0.982,26.7,No
1972,CIN,3.62,3.21,25,15,60,1412.2,1313,557,504,129,435,806,1.237,5.13,0.82,110,143,0.982,25.5,No
1971,CIN,3.59,3.35,27,11,38,1444.0,1298,581,538,112,501,750,1.246,4.67,0.7,103,174,0.984,25.1,No
1970,CIN,4.2,3.69,32,15,60,1444.2,1370,681,592,118,592,843,1.358,5.25,0.74,151,173,0.976,25.2,No
1969,CIN,4.71,4.11,23,11,44,1465.0,1478,768,669,149,611,818,1.426,5.03,0.92,167,158,0.974,27.3,No
1968,CIN,4.13,3.56,24,16,38,1490.1,1399,673,590,114,573,963,1.323,5.82,0.69,144,144,0.978,27.1,No
1967,CIN,3.48,3.05,34,18,40,1468.0,1328,563,497,101,498,1065,1.244,6.53,0.62,121,124,0.98,26.3,No
1966,CIN,4.39,4.08,28,10,35,1436.0,1408,702,651,153,490,1043,1.322,6.54,0.96,122,133,0.98,27.5,No
1965,CIN,4.35,3.88,43,9,34,1457.1,1355,704,629,136,587,1113,1.333,6.87,0.84,117,142,0.981,27.2,No
1964,CIN,3.47,3.07,54,14,35,1467.0,1306,566,501,112,436,1122,1.187,6.88,0.69,130,137,0.979,28.5,No
1963,CIN,3.67,3.29,55,22,36,1439.2,1307,594,527,117,425,1048,1.203,6.55,0.73,135,127,0.978,29.2,No
1962,CIN,4.23,3.75,51,13,35,1460.2,1397,685,609,149,567,964,1.345,5.94,0.92,145,144,0.977,28.4,No
1961,CIN,4.24,3.78,46,12,40,1370.0,1300,653,576,147,500,829,1.314,5.45,0.97,134,124,0.977,26.5,No
1960,CIN,4.49,4.0,33,8,36,1390.1,1417,692,618,134,442,740,1.337,4.79,0.87,125,155,0.979,28.1,No
1959,CIN,4.79,4.31,44,7,26,1357.1,1460,738,650,162,456,690,1.412,4.58,1.07,126,157,0.978,28.8,No
1958,CIN,4.03,3.73,50,7,20,1385.1,1422,621,574,148,419,705,1.329,4.58,0.96,100,148,0.983,30.4,No
1957,CIN,5.07,4.62,40,5,29,1395.2,1486,781,717,179,429,707,1.372,4.56,1.15,107,139,0.982,29.4,No
1956,CIN,4.25,3.85,47,4,28,1389.0,1406,658,594,141,458,653,1.342,4.23,0.91,113,147,0.981,29.5,No
1955,CIN,4.44,3.95,38,12,22,1363.0,1373,684,598,161,443,576,1.332,3.8,1.06,139,169,0.977,28.4,No
1954,CIN,4.95,4.5,34,8,27,1367.1,1491,763,684,169,547,537,1.49,3.53,1.11,137,194,0.977,28.4,No
1953,CIN,5.08,4.64,47,7,15,1365.0,1484,788,703,179,488,506,1.445,3.34,1.18,129,176,0.978,28.2,No
1952,CIN,4.28,4.01,56,11,12,1363.1,1377,659,608,111,517,579,1.389,3.82,0.73,107,145,0.982,28.4,No
1951,CIN,4.3,3.7,55,14,23,1390.2,1357,667,572,119,490,584,1.328,3.78,0.77,140,141,0.977,29.4,No
1950,CIN,4.8,4.32,67,7,13,1357.2,1363,734,651,145,582,686,1.433,4.55,0.96,140,132,0.976,27.8,No
1949,CIN,4.94,4.34,55,10,6,1401.2,1423,770,676,124,640,538,1.472,3.45,0.8,138,150,0.977,27.8,No
1948,CIN,4.91,4.47,40,8,20,1343.1,1410,751,667,104,572,599,1.475,4.01,0.7,158,135,0.973,28.3,No
1947,CIN,4.9,4.41,54,13,13,1365.1,1442,755,669,102,589,633,1.488,4.17,0.67,138,134,0.977,27.9,No
1946,CIN,3.65,3.08,69,17,11,1413.1,1334,570,483,70,467,506,1.274,3.22,0.45,155,192,0.975,31.5,No
1945,CIN,4.51,4.0,77,11,6,1365.2,1438,694,607,70,534,372,1.444,2.45,0.46,146,138,0.976,32.9,No
1944,CIN,3.46,2.97,93,17,10,1398.1,1292,537,462,60,390,369,1.203,2.37,0.39,137,153,0.978,31.7,No
1943,CIN,3.5,3.13,78,18,17,1404.0,1299,543,489,38,579,498,1.338,3.19,0.24,125,193,0.98,31.6,No
1942,CIN,3.54,2.82,80,12,8,1411.2,1213,545,442,47,526,616,1.232,3.93,0.3,177,158,0.971,31.2,No
1941,CIN,3.66,3.17,89,19,10,1386.2,1300,564,488,61,510,627,1.305,4.07,0.4,152,147,0.975,29.8,No
1940,CIN,3.41,3.05,91,10,11,1407.2,1263,528,477,73,445,557,1.213,3.56,0.47,117,158,0.981,29.6,No
1939,CIN,3.81,3.27,86,13,9,1403.2,1340,595,510,81,499,637,1.31,4.08,0.52,162,170,0.974,28.9,No
1938,CIN,4.2,3.62,72,11,16,1362.0,1329,634,548,75,463,542,1.316,3.58,0.5,172,133,0.971,29.1,No
1937,CIN,4.55,3.94,64,10,18,1358.1,1428,706,594,38,533,581,1.444,3.85,0.25,208,139,0.966,28.8,No
1936,CIN,4.94,4.22,50,6,23,1367.1,1576,760,641,51,418,459,1.458,3.02,0.34,191,150,0.969,28.1,No
1935,CIN,5.01,4.3,59,9,12,1356.0,1490,772,648,65,438,500,1.422,3.32,0.43,204,139,0.966,27.5,No
1934,CIN,5.27,4.37,51,3,19,1347.2,1645,801,654,61,389,438,1.509,2.93,0.41,181,136,0.97,29.1,No
1933,CIN,4.2,3.42,74,13,8,1352.0,1470,643,514,47,257,310,1.277,2.06,0.31,177,139,0.971,31.5,No
1932,CIN,4.61,3.79,83,6,5,1394.2,1505,715,587,69,276,359,1.277,2.32,0.45,178,129,0.971,30.8,No
1931,CIN,4.82,4.22,70,7,6,1345.0,1545,742,630,51,399,317,1.445,2.12,0.34,165,194,0.973,29.7,No
1930,CIN,5.56,5.08,61,6,11,1335.0,1650,857,753,75,394,361,1.531,2.43,0.51,161,164,0.973,30.4,No
1929,CIN,4.9,4.41,75,5,8,1369.1,1558,760,671,61,413,347,1.439,2.28,0.4,162,148,0.974,32.0,No
1928,CIN,4.48,3.94,68,11,11,1371.2,1516,686,600,58,410,355,1.404,2.33,0.38,162,194,0.974,32.2,No
1927,CIN,4.27,3.54,87,12,13,1368.0,1472,653,538,36,316,407,1.307,2.68,0.24,165,160,0.973,31.2,No
1926,CIN,4.15,3.42,88,14,8,1408.2,1449,651,535,40,324,424,1.259,2.71,0.26,183,160,0.972,30.7,No
1925,CIN,4.2,3.38,92,11,12,1375.1,1447,643,517,35,324,437,1.288,2.86,0.23,203,161,0.968,30.8,No
1924,CIN,3.78,3.12,77,14,9,1378.0,1408,579,477,30,293,451,1.234,2.95,0.2,217,142,0.966,30.4,No
1923,CIN,4.08,3.21,88,11,9,1391.1,1465,629,497,28,359,450,1.311,2.91,0.18,202,144,0.969,28.8,No
1922,CIN,4.34,3.53,90,8,4,1385.2,1481,677,544,49,326,357,1.304,2.32,0.32,205,147,0.968,27.7,No
1921,CIN,4.24,3.46,83,7,9,1363.0,1500,649,524,37,305,408,1.324,2.69,0.24,193,139,0.969,30.0,No
1920,CIN,3.69,2.9,90,12,10,1391.2,1327,569,448,26,393,435,1.236,2.81,0.17,200,125,0.968,27.8,No
1919,CIN,2.86,2.23,89,23,9,1274.0,1104,401,316,21,298,407,1.1,2.88,0.15,151,98,0.974,27.4,No
1918,CIN,3.84,3.0,84,14,6,1142.1,1136,496,381,19,381,321,1.328,2.53,0.15,192,131,0.964,24.8,No
1917,CIN,3.89,2.7,94,12,6,1397.1,1358,611,419,20,402,488,1.26,3.14,0.13,247,120,0.962,25.0,No
1916,CIN,3.98,3.1,86,7,6,1408.0,1356,617,485,35,461,569,1.29,3.64,0.22,228,126,0.965,25.9,No
1915,CIN,3.66,2.84,80,19,12,1432.1,1304,585,452,28,497,572,1.257,3.59,0.18,222,148,0.966,24.5,No
1914,CIN,4.15,2.94,74,15,15,1387.1,1259,651,453,30,489,607,1.26,3.94,0.19,314,113,0.952,25.3,No
1913,CIN,4.6,3.46,71,10,10,1380.0,1398,717,530,40,456,522,1.343,3.4,0.26,251,104,0.961,28.2,No
1912,CIN,4.66,3.42,86,13,10,1377.2,1455,722,524,28,452,561,1.384,3.66,0.18,249,102,0.96,26.9,No
1911,CIN,4.44,3.26,77,4,12,1425.0,1410,706,516,36,476,557,1.324,3.52,0.23,295,108,0.955,28.1,No
1910,CIN,4.38,3.08,86,16,11,1386.2,1334,684,475,27,528,497,1.343,3.23,0.18,291,103,0.955,27.0,No
1909,CIN,3.82,2.52,91,10,8,1407.0,1233,599,394,5,510,477,1.239,3.05,0.03,309,120,0.952,28.1,No
1908,CIN,3.5,2.37,110,17,8,1384.0,1218,543,365,19,415,433,1.18,2.82,0.12,255,72,0.959,30.0,No
1907,CIN,3.33,2.41,118,10,2,1351.1,1223,519,362,16,444,481,1.234,3.2,0.11,227,118,0.963,28.0,No
1906,CIN,3.75,2.69,126,12,5,1369.2,1248,582,409,14,470,567,1.254,3.73,0.09,262,97,0.959,29.9,No
1905,CIN,4.5,3.01,119,10,2,1365.2,1409,698,457,22,439,547,1.353,3.6,0.14,310,122,0.953,26.5,No
1904,CIN,3.48,2.34,142,12,2,1392.2,1256,547,362,13,343,502,1.148,3.24,0.08,301,81,0.954,26.6,No
1903,CIN,4.65,3.07,126,11,1,1230.0,1277,656,420,14,378,480,1.346,3.51,0.1,312,84,0.946,28.0,No
1902,CIN,4.01,2.67,130,9,1,1239.0,1228,566,368,15,352,430,1.275,3.12,0.11,322,118,0.945,26.1,No
1901,CIN,5.76,4.17,126,4,0,1265.2,1469,818,587,51,365,542,1.449,3.85,0.36,355,102,0.94,26.1,No
1900,CIN,5.17,3.83,118,9,1,1274.2,1383,745,543,28,404,399,1.402,2.82,0.2,341,120,0.945,26.3,No
1899,CIN,4.95,3.7,131,8,5,1373.0,1494,777,564,26,372,361,1.359,2.37,0.17,341,113,0.947,26.0,No
1898,CIN,4.71,3.5,131,10,2,1385.1,1484,740,538,16,449,294,1.395,1.91,0.1,325,128,0.95,26.4,No
1897,CIN,5.26,4.09,100,4,2,1156.2,1375,705,525,18,329,270,1.473,2.1,0.14,273,100,0.948,27.9,No
1896,CIN,4.84,3.67,105,12,4,1108.0,1240,620,452,27,310,219,1.399,1.78,0.22,252,107,0.951,27.7,No
1895,CIN,6.47,4.81,97,2,6,1147.1,1451,854,613,39,362,245,1.58,1.92,0.31,377,112,0.931,27.7,No
1894,CIN,8.27,5.99,112,4,3,1165.1,1616,1108,775,85,500,223,1.816,1.72,0.66,430,122,0.925,25.2,No
1893,CIN,6.21,4.55,97,4,5,1172.0,1305,814,592,38,549,258,1.582,1.98,0.29,321,138,0.943,25.3,No
1892,CIN,4.72,3.17,130,8,2,1377.1,1327,731,485,39,535,437,1.352,2.86,0.25,402,140,0.939,25.8,No
1891,CIN,5.72,3.55,125,6,1,1218.2,1234,790,481,40,465,393,1.394,2.9,0.3,409,101,0.931,29.2,No
1890,CIN,4.72,2.79,124,9,1,1190.2,1097,633,369,41,407,488,1.263,3.69,0.31,382,106,0.932,26.0,No
1889,CIN,5.45,3.5,114,3,8,1243.0,1270,769,484,35,475,562,1.404,4.07,0.25,440,121,0.926,25.7,No
1888,CIN,4.58,2.73,132,10,2,1237.2,1103,628,375,19,310,539,1.142,3.92,0.14,456,100,0.923,23.3,No
1887,CIN,5.48,3.58,129,11,1,1182.2,1202,745,471,28,396,330,1.351,2.51,0.21,484,106,0.916,24.1,No
1886,CIN,6.13,4.18,129,3,0,1247.2,1267,865,580,25,481,495,1.401,3.57,0.18,582,122,0.905,24.3,No
1885,CIN,5.13,3.26,102,7,1,999.1,998,575,362,24,250,330,1.249,2.97,0.22,423,86,0.911,24.8,No
1884,CIN,4.57,3.33,111,11,0,983.2,955,512,364,27,181,308,1.155,2.82,0.25,430,82,0.909,27.1,No
1883,CIN,4.21,2.26,96,8,0,866.2,766,413,218,17,168,215,1.078,2.23,0.18,383,57,0.905,27.3,No
1882,CIN,3.35,1.65,77,11,0,721.1,609,268,132,7,125,165,1.018,2.06,0.09,332,41,0.907,26.6,No
2023,CLE,4.3,3.99,1,13,47,1444.0,1353,697,640,173,534,1311,1.307,8.17,1.08,82,119,0.986,26.1,No
2022,CLE,3.91,3.46,1,8,51,1456.0,1252,634,560,172,435,1390,1.159,8.59,1.06,97,127,0.984,26.3,No
2021,CLE,4.49,4.34,0,9,39,1408.0,1281,727,679,216,522,1391,1.281,8.89,1.38,86,138,0.985,26.3,No
2019,CLE,4.06,3.76,6,16,42,1437.2,1308,657,601,207,450,1508,1.223,9.44,1.3,83,110,0.985,28.3,No
2018,CLE,4.0,3.77,5,17,41,1457.1,1349,648,611,200,407,1544,1.205,9.54,1.24,83,123,0.986,29.4,No
2017,CLE,3.48,3.3,7,19,37,1440.2,1267,564,529,163,406,1614,1.161,10.08,1.02,76,167,0.987,28.9,No
2016,CLE,4.2,3.84,5,11,37,1445.0,1330,676,617,186,461,1398,1.239,8.71,1.16,89,126,0.985,28.1,No
2015,CLE,3.98,3.67,11,10,38,1432.2,1274,640,584,161,425,1407,1.186,8.84,1.01,79,136,0.987,27.3,No
2014,CLE,4.03,3.56,6,15,40,1468.1,1398,653,581,135,464,1450,1.268,8.89,0.83,116,139,0.981,27.2,No
2013,CLE,4.09,3.82,3,16,38,1441.1,1359,662,611,147,554,1379,1.327,8.61,0.92,98,135,0.983,27.5,No
2012,CLE,5.22,4.78,2,6,43,1442.0,1503,845,766,174,543,1086,1.419,6.78,1.09,96,157,0.984,27.6,No
2011,CLE,4.69,4.23,2,4,38,1453.1,1482,760,683,153,463,1024,1.338,6.34,0.95,110,130,0.982,26.7,No
2010,CLE,4.64,4.3,10,4,34,1433.0,1477,752,684,147,572,967,1.43,6.07,0.92,110,179,0.982,26.6,No
2009,CLE,5.34,5.06,5,6,25,1434.0,1570,865,806,183,598,986,1.512,6.19,1.15,97,170,0.984,27.8,No
2008,CLE,4.7,4.45,10,13,31,1437.0,1530,761,711,170,444,986,1.374,6.18,1.06,94,182,0.985,28.6,No
2007,CLE,4.35,4.05,9,9,49,1462.2,1519,704,658,146,410,1047,1.319,6.44,0.9,92,167,0.985,29.4,No
2006,CLE,4.83,4.41,13,13,24,1423.1,1583,782,698,166,429,948,1.414,5.99,1.05,118,165,0.981,28.6,No
2005,CLE,3.96,3.61,6,10,51,1452.2,1363,642,582,157,413,1050,1.223,6.51,0.97,106,156,0.983,29.2,No
2004,CLE,5.29,4.81,8,8,32,1466.2,1553,857,784,201,579,1115,1.454,6.84,1.23,106,152,0.983,27.3,No
2003,CLE,4.8,4.21,5,7,34,1459.1,1477,778,682,179,501,943,1.355,5.82,1.1,126,178,0.98,26.3,No
2002,CLE,5.17,4.91,9,4,34,1424.2,1508,837,777,142,603,1058,1.482,6.68,0.9,113,161,0.981,28.1,No
2001,CLE,5.07,4.64,3,4,42,1446.2,1512,821,746,148,573,1218,1.441,7.58,0.92,107,137,0.982,29.1,No
2000,CLE,5.04,4.84,6,5,34,1442.1,1511,816,775,173,666,1213,1.509,7.57,1.08,72,147,0.988,30.2,No
1999,CLE,5.31,4.89,3,6,46,1450.1,1503,860,788,197,634,1120,1.473,6.95,1.22,106,154,0.983,30.6,No
1998,CLE,4.81,4.44,9,4,47,1460.0,1552,779,721,171,563,1037,1.449,6.39,1.05,110,146,0.982,29.8,No
1997,CLE,5.06,4.73,4,3,39,1425.2,1528,815,749,181,575,1036,1.475,6.54,1.14,106,159,0.983,29.7,No
1996,CLE,4.78,4.34,13,9,46,1452.1,1530,769,700,173,484,1033,1.387,6.4,1.07,124,156,0.98,30.3,No
1995,CLE,4.22,3.83,10,10,50,1301.0,1261,607,554,135,445,926,1.311,6.41,0.93,101,142,0.982,30.6,No
1994,CLE,4.97,4.36,17,5,21,1018.2,1097,562,494,94,404,666,1.473,5.88,0.83,90,119,0.98,30.7,No
1993,CLE,5.02,4.58,7,8,45,1445.2,1591,813,735,182,591,888,1.509,5.53,1.13,148,174,0.976,27.3,No
1992,CLE,4.6,4.11,13,7,46,1470.0,1507,746,671,159,566,890,1.41,5.45,0.97,141,176,0.978,27.0,No
1991,CLE,4.69,4.23,22,8,33,1441.1,1551,759,678,110,441,862,1.382,5.38,0.69,149,150,0.976,26.8,No
1990,CLE,4.55,4.26,12,10,47,1427.1,1491,737,676,163,518,860,1.408,5.42,1.03,117,146,0.981,28.2,No
1989,CLE,4.04,3.65,23,13,38,1453.0,1423,654,589,107,452,844,1.29,5.23,0.66,118,126,0.981,28.6,No
1988,CLE,4.51,4.16,35,10,46,1434.0,1501,731,663,120,442,812,1.355,5.1,0.75,124,131,0.98,27.1,No
1987,CLE,5.91,5.28,24,8,25,1422.2,1566,957,835,219,606,849,1.527,5.37,1.39,153,128,0.975,30.7,No
1986,CLE,5.16,4.58,31,7,34,1447.2,1548,841,736,167,605,744,1.487,4.63,1.04,157,148,0.975,30.0,No
1985,CLE,5.31,4.91,24,7,28,1421.0,1556,861,776,170,547,702,1.48,4.45,1.08,141,161,0.977,27.4,No
1984,CLE,4.7,4.26,21,7,35,1467.2,1523,766,694,141,545,803,1.409,4.92,0.86,146,163,0.977,27.2,No
1983,CLE,4.85,4.43,34,8,25,1441.2,1531,785,710,120,529,794,1.429,4.96,0.75,122,174,0.98,27.7,No
1982,CLE,4.62,4.11,31,9,30,1468.1,1433,748,670,122,589,882,1.377,5.41,0.75,123,129,0.98,27.4,No
1981,CLE,4.29,3.88,33,10,13,931.0,989,442,401,67,311,569,1.396,5.5,0.65,87,91,0.978,28.3,No
1980,CLE,5.04,4.68,35,8,32,1428.0,1519,807,743,137,552,843,1.45,5.31,0.86,105,143,0.983,26.8,No
