Year,Lg,W,L,Finish,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,Team
1980,NL East,64,98,6,4.49,3.89,162,13,6,35,1479.0,1525,728,639,109,589,923,1.429,5.62,0.66,174,149,0.974,28.0,CHC
1979,NL East,80,82,5,4.36,3.88,162,20,11,44,1446.2,1500,707,624,127,521,933,1.397,5.8,0.79,159,163,0.975,27.7,CHC
1978,NL East,79,83,3,4.47,4.05,162,24,7,38,1455.1,1475,724,655,125,539,768,1.384,4.75,0.77,144,154,0.978,27.5,CHC
1977,NL East,81,81,4,4.56,4.01,162,16,10,44,1468.0,1500,739,654,128,489,942,1.355,5.78,0.78,153,147,0.977,26.9,CHC
1976,NL East,75,87,4,4.49,3.93,162,27,12,33,1471.1,1511,728,643,123,490,850,1.36,5.2,0.75,140,145,0.978,27.8,CHC
1975,NL East,75,87,5,5.1,4.49,162,27,8,33,1444.1,1587,827,721,130,551,850,1.48,5.3,0.81,179,152,0.972,27.2,CHC
1974,NL East,66,96,6,5.1,4.28,162,23,6,26,1466.1,1593,826,697,122,576,895,1.479,5.49,0.75,199,141,0.969,25.6,CHC
1973,NL East,77,84,5,4.07,3.66,161,27,13,40,1437.2,1471,655,584,128,438,885,1.328,5.54,0.8,157,155,0.975,27.6,CHC
1972,NL East,85,70,2,3.63,3.22,156,54,19,32,1398.2,1329,567,500,112,421,824,1.251,5.3,0.72,132,148,0.979,28.7,CHC
1971,NL East,83,79,3,4.0,3.61,162,75,17,13,1444.0,1458,648,579,132,411,900,1.294,5.61,0.82,126,150,0.98,28.7,CHC
1970,NL East,84,78,2,4.19,3.76,162,59,9,25,1435.0,1402,679,599,143,475,1000,1.308,6.27,0.9,137,146,0.978,27.7,CHC
1969,NL East,92,70,2,3.75,3.34,163,58,22,27,1454.1,1366,611,540,118,475,1017,1.266,6.29,0.73,136,149,0.979,27.6,CHC
1968,NL,84,78,3,3.75,3.41,163,46,12,33,1453.2,1399,611,551,138,392,894,1.232,5.53,0.85,119,149,0.981,25.4,CHC
1967,NL,87,74,3,3.85,3.48,162,47,7,29,1457.0,1352,624,564,142,463,888,1.246,5.49,0.88,121,143,0.981,25.1,CHC
1966,NL,59,103,10,4.99,4.33,162,28,6,25,1458.0,1513,809,702,184,479,908,1.366,5.6,1.14,166,132,0.974,26.9,CHC
1965,NL,72,90,8,4.41,3.78,164,33,9,35,1472.0,1470,723,618,154,481,855,1.325,5.23,0.94,171,166,0.974,29.7,CHC
1964,NL,76,86,8,4.47,4.08,162,58,11,20,1445.0,1510,724,655,144,423,737,1.338,4.59,0.9,162,147,0.975,30.0,CHC
1963,NL,82,80,7,3.57,3.08,162,45,15,28,1457.0,1357,578,498,119,400,851,1.206,5.26,0.74,155,172,0.976,28.5,CHC
1962,NL,59,103,9,5.1,4.54,162,29,4,26,1438.1,1509,827,725,159,601,783,1.467,4.9,0.99,146,171,0.977,26.6,CHC
1961,NL,64,90,7,5.13,4.48,156,34,6,25,1385.0,1492,800,690,165,465,755,1.413,4.91,1.07,183,175,0.97,25.1,CHC
1960,NL,60,94,7,4.97,4.35,156,36,6,24,1402.2,1393,776,678,152,565,805,1.396,5.17,0.98,143,133,0.977,24.5,CHC
1959,NL,74,80,5,4.44,4.01,155,30,11,26,1391.0,1337,688,620,152,519,765,1.334,4.95,0.98,140,142,0.977,26.3,CHC
1958,NL,72,82,5,4.71,4.22,154,27,5,25,1361.0,1322,725,638,142,619,805,1.426,5.32,0.94,150,161,0.975,25.1,CHC
1957,NL,62,92,7,4.63,4.13,156,30,5,26,1403.1,1397,722,644,144,601,859,1.424,5.51,0.92,149,140,0.975,26.4,CHC
1956,NL,60,94,8,4.51,3.96,157,37,6,17,1392.0,1325,708,612,161,613,744,1.392,4.81,1.04,144,141,0.976,28.8,CHC
1955,NL,72,81,6,4.63,4.17,154,47,10,20,1378.1,1306,713,639,153,601,686,1.384,4.48,1.0,147,147,0.975,29.7,CHC
1954,NL,64,90,7,4.97,4.51,154,41,6,20,1374.1,1375,766,688,131,619,622,1.451,4.07,0.86,154,164,0.974,28.2,CHC
1953,NL,65,89,7,5.39,4.79,155,38,3,22,1359.0,1491,835,723,151,554,623,1.505,4.13,1.0,193,141,0.967,28.9,CHC
1952,NL,77,77,5,4.07,3.58,155,59,15,15,1386.1,1265,631,552,101,534,661,1.298,4.29,0.66,146,123,0.976,28.2,CHC
1951,NL,62,92,8,4.84,4.34,155,48,10,10,1385.2,1416,750,668,125,572,544,1.435,3.53,0.81,181,161,0.971,27.6,CHC
1950,NL,64,89,7,5.01,4.28,154,55,9,18,1371.1,1452,772,652,130,593,559,1.491,3.67,0.85,201,169,0.968,28.5,CHC
1949,NL,61,93,8,5.02,4.5,154,44,8,17,1357.2,1487,773,679,104,575,544,1.519,3.61,0.69,186,160,0.97,29.7,CHC
1948,NL,64,90,8,4.55,4.0,155,51,7,10,1355.1,1355,705,603,89,619,636,1.456,4.22,0.59,172,152,0.972,27.4,CHC
1947,NL,69,85,6,4.66,4.04,155,46,8,15,1367.0,1449,722,613,106,618,571,1.512,3.76,0.7,150,159,0.975,29.1,CHC
1946,NL,82,71,3,3.75,3.24,155,59,15,11,1393.0,1370,581,502,58,527,619,1.362,4.0,0.37,146,119,0.976,29.3,CHC
1945,NL,98,56,1,3.43,2.98,155,86,15,15,1366.1,1301,532,452,57,385,541,1.234,3.56,0.38,121,124,0.98,33.1,CHC
1944,NL,75,79,4,4.26,3.59,157,70,11,13,1400.2,1484,669,558,75,458,545,1.386,3.5,0.48,186,151,0.97,30.3,CHC
1943,NL,74,79,5,3.89,3.31,154,67,13,14,1386.0,1379,599,510,53,394,513,1.279,3.33,0.34,168,138,0.973,30.3,CHC
1942,NL,68,86,6,4.29,3.6,155,71,10,14,1400.2,1447,665,560,70,525,507,1.408,3.26,0.45,170,136,0.973,28.9,CHC
1941,NL,70,84,6,4.32,3.72,155,74,8,9,1364.2,1431,670,564,60,449,548,1.378,3.61,0.4,180,139,0.97,30.1,CHC
1940,NL,75,79,5,4.13,3.54,154,69,12,14,1392.0,1418,636,548,74,430,564,1.328,3.65,0.48,199,143,0.968,29.7,CHC
1939,NL,84,70,4,4.35,3.8,156,72,8,13,1392.1,1504,678,588,74,430,584,1.389,3.77,0.48,186,126,0.97,31.7,CHC
1938,NL,89,63,1,3.88,3.37,154,67,16,19,1396.2,1414,597,523,71,454,583,1.337,3.76,0.46,135,151,0.978,29.7,CHC
1937,NL,93,61,2,4.43,3.97,154,73,11,13,1381.1,1434,682,610,91,502,596,1.402,3.88,0.59,151,141,0.975,29.6,CHC
1936,NL,87,67,2,3.92,3.54,154,77,18,9,1382.1,1413,603,543,77,434,597,1.336,3.89,0.5,146,156,0.976,27.9,CHC
1935,NL,100,54,1,3.88,3.26,154,81,12,14,1394.1,1417,597,505,85,400,589,1.303,3.8,0.55,186,163,0.97,27.0,CHC
1934,NL,86,65,3,4.2,3.76,152,73,11,10,1361.1,1432,639,568,80,417,633,1.358,4.18,0.53,137,135,0.977,28.5,CHC
1933,NL,86,68,3,3.48,2.93,154,94,16,9,1362.0,1316,536,443,51,413,488,1.269,3.22,0.34,168,163,0.973,29.4,CHC
1932,NL,90,64,1,4.11,3.44,154,79,9,7,1401.0,1444,633,536,68,409,527,1.323,3.39,0.44,173,146,0.973,30.6,CHC
1931,NL,84,70,3,4.55,3.97,156,80,8,10,1385.2,1448,710,612,54,524,541,1.423,3.51,0.35,169,141,0.973,30.1,CHC
1930,NL,90,64,2,5.58,4.8,156,67,6,16,1403.2,1642,870,749,111,528,601,1.546,3.85,0.71,170,167,0.973,28.5,CHC
1929,NL,98,54,1,4.86,4.16,156,80,14,20,1398.2,1542,758,646,77,537,548,1.486,3.53,0.5,154,169,0.975,29.7,CHC
1928,NL,91,63,3,3.99,3.4,154,75,12,14,1380.2,1383,615,521,56,508,531,1.37,3.46,0.37,156,176,0.975,28.6,CHC
1927,NL,85,68,4,4.32,3.65,153,75,11,6,1385.0,1439,661,562,50,514,465,1.41,3.02,0.32,181,152,0.971,27.3,CHC
1926,NL,82,72,4,3.88,3.26,155,77,13,13,1378.1,1407,602,499,39,486,508,1.373,3.32,0.25,162,174,0.974,26.4,CHC
1925,NL,68,86,8,5.02,4.41,154,75,5,10,1370.0,1575,773,671,102,485,435,1.504,2.86,0.67,198,161,0.969,28.2,CHC
1924,NL,81,72,5,4.54,3.83,154,85,4,6,1380.2,1459,699,587,89,438,416,1.374,2.71,0.58,218,153,0.966,27.5,CHC
1923,NL,83,71,4,4.57,3.82,154,80,8,11,1366.2,1419,704,580,86,435,408,1.357,2.69,0.57,208,144,0.967,27.7,CHC
1922,NL,80,74,5,5.18,4.34,156,74,8,13,1397.2,1579,808,674,77,475,402,1.47,2.59,0.5,204,154,0.968,26.0,CHC
1921,NL,64,89,7,5.05,4.39,153,72,7,7,1363.0,1605,773,665,67,409,441,1.478,2.91,0.44,166,129,0.974,27.0,CHC
1920,NL,75,79,5,4.12,3.27,154,95,13,9,1388.2,1459,635,504,37,382,508,1.326,3.29,0.24,225,112,0.965,30.1,CHC
1919,NL,75,65,3,2.91,2.21,140,80,21,5,1265.0,1127,407,311,14,294,495,1.123,3.52,0.1,185,87,0.969,29.0,CHC
1918,NL,84,45,1,3.0,2.18,131,92,23,8,1197.0,1050,393,290,13,296,472,1.124,3.55,0.1,188,94,0.966,28.0,CHC
1917,NL,74,80,5,3.61,2.62,157,79,16,9,1404.0,1303,567,408,34,374,654,1.194,4.19,0.22,267,121,0.959,27.5,CHC
1916,NL,67,86,5,3.47,2.65,156,72,17,13,1416.2,1265,541,417,32,365,616,1.151,3.91,0.2,286,104,0.957,29.7,CHC
1915,NL,73,80,4,3.97,3.11,156,71,18,8,1399.0,1272,620,484,28,480,657,1.252,4.23,0.18,268,94,0.958,27.8,CHC
1914,NL,78,76,4,4.09,2.71,156,70,14,11,1389.1,1169,638,418,37,528,651,1.221,4.22,0.24,310,87,0.951,28.2,CHC
1913,NL,88,65,3,4.06,3.16,155,89,12,15,1373.0,1330,630,482,39,478,556,1.317,3.64,0.26,260,106,0.959,28.6,CHC
1912,NL,91,59,3,4.39,3.42,152,80,15,9,1358.2,1307,668,517,33,493,554,1.325,3.67,0.22,249,125,0.96,28.0,CHC
1911,NL,92,62,2,3.87,2.9,157,85,12,16,1411.0,1270,607,454,26,525,582,1.272,3.71,0.17,260,114,0.96,28.5,CHC
1910,NL,104,50,1,3.24,2.51,154,99,25,13,1378.2,1171,499,384,18,474,609,1.193,3.98,0.12,230,110,0.963,28.6,CHC
1909,NL,104,49,2,2.52,1.75,155,111,32,11,1399.1,1094,390,272,6,364,680,1.042,4.37,0.04,244,95,0.962,28.1,CHC
1908,NL,99,55,1,2.92,2.14,158,108,29,12,1433.2,1137,461,341,20,437,668,1.098,4.19,0.13,205,76,0.969,28.7,CHC
1907,NL,107,45,1,2.52,1.73,155,114,32,8,1373.1,1054,390,264,11,402,586,1.06,3.84,0.07,211,110,0.967,28.2,CHC
1906,NL,116,36,1,2.46,1.75,155,125,30,10,1388.1,1018,381,270,12,446,702,1.055,4.55,0.08,194,100,0.969,27.1,CHC
1905,NL,92,61,3,2.85,2.04,155,133,23,2,1407.1,1135,442,319,14,385,627,1.08,4.01,0.09,248,99,0.962,26.8,CHC
1904,NL,93,60,2,3.31,2.3,156,139,18,6,1383.2,1150,517,354,16,402,618,1.122,4.02,0.1,298,89,0.954,27.0,CHC
1903,NL,82,56,3,4.31,2.77,139,117,6,6,1240.1,1182,599,382,14,354,451,1.238,3.27,0.1,338,78,0.942,28.0,CHC
1902,NL,68,69,5,3.53,2.19,143,134,17,2,1293.1,1244,505,315,7,281,447,1.179,3.11,0.05,331,113,0.946,27.6,CHC
1901,NL,53,86,6,4.99,3.33,140,131,2,0,1241.2,1348,699,460,27,324,586,1.347,4.25,0.2,336,87,0.943,25.2,CHC
1900,NL,65,75,6,5.14,3.23,146,137,9,1,1271.0,1375,751,456,21,324,357,1.337,2.53,0.15,418,98,0.933,27.7,CHC
1899,NL,75,73,8,5.02,3.37,152,147,8,1,1331.1,1433,763,498,20,330,313,1.324,2.12,0.14,428,145,0.935,26.0,CHC
1898,NL,85,65,4,4.47,2.83,152,137,13,0,1342.2,1357,679,422,17,364,323,1.282,2.17,0.11,412,149,0.936,25.0,CHC
1897,NL,59,73,9,6.48,4.53,138,131,2,1,1197.0,1485,894,603,30,433,361,1.602,2.71,0.23,393,112,0.932,24.1,CHC
1896,NL,71,57,5,6.09,4.44,132,118,2,1,1161.1,1307,804,573,30,467,354,1.528,2.74,0.23,367,115,0.933,24.9,CHC
1895,NL,72,58,4,6.42,4.67,133,119,3,1,1150.2,1422,854,597,38,432,297,1.611,2.32,0.3,401,113,0.928,28.6,CHC
1894,NL,57,75,8,7.88,5.72,137,118,0,0,1163.0,1575,1080,739,43,569,284,1.844,2.2,0.33,458,115,0.918,26.6,CHC
1893,NL,56,71,9,6.83,4.81,128,101,4,5,1117.1,1278,874,597,26,553,273,1.639,2.2,0.21,421,92,0.922,25.4,CHC
1892,NL,70,76,7,5.0,3.16,147,133,6,1,1298.0,1269,735,456,35,424,518,1.304,3.59,0.24,424,85,0.932,27.6,CHC
1891,NL,82,53,2,5.33,3.47,137,114,6,3,1220.2,1207,730,471,53,475,477,1.378,3.52,0.39,397,119,0.932,26.1,CHC
1890,NL,83,53,2,4.98,3.24,139,126,6,3,1237.1,1103,692,446,41,481,504,1.28,3.67,0.3,344,89,0.94,25.0,CHC
1889,NL,67,65,3,5.99,3.73,136,123,6,2,1237.0,1313,814,512,71,408,434,1.391,3.16,0.52,463,91,0.923,24.1,CHC
1888,NL,77,58,2,4.85,2.96,136,123,13,1,1186.1,1139,659,390,63,308,588,1.22,4.46,0.48,417,112,0.927,22.3,CHC
1887,NL,71,50,3,5.64,3.46,127,117,4,3,1126.0,1156,716,433,55,338,510,1.327,4.08,0.44,472,99,0.914,23.7,CHC
1886,NL,90,34,1,4.4,2.54,126,116,8,3,1097.2,988,555,310,49,262,647,1.139,5.3,0.4,475,82,0.912,25.2,CHC
1885,NL,87,25,1,4.16,2.23,113,108,14,4,1015.2,868,470,252,37,202,458,1.053,4.06,0.33,496,80,0.903,24.0,CHC
1884,NL,62,50,5,5.73,3.03,113,106,9,0,997.1,1028,647,336,83,231,472,1.262,4.26,0.75,595,107,0.886,24.5,CHC
1883,NL,59,39,2,5.51,2.78,98,91,5,1,862.0,942,540,266,21,123,299,1.235,3.12,0.22,543,76,0.879,24.9,CHC
1882,NL,55,29,1,4.2,2.22,84,83,7,0,763.2,667,353,188,13,102,279,1.007,3.29,0.15,376,54,0.898,24.1,CHC
1881,NL,56,28,1,4.52,2.43,84,81,9,0,744.2,722,380,201,14,122,228,1.133,2.76,0.17,309,54,0.916,22.9,CHC
1880,NL,67,17,1,3.69,1.93,86,80,8,3,775.0,622,317,166,8,129,367,0.969,4.26,0.09,329,41,0.913,21.2,CHC
1879,NL,46,33,4,4.95,2.46,83,82,6,0,744.0,762,411,203,5,57,211,1.101,2.55,0.06,381,52,0.9,23.0,CHC
1878,NL,30,30,4,5.43,2.37,61,61,1,0,551.0,577,331,145,4,35,175,1.111,2.86,0.07,304,37,0.891,21.8,CHC
1877,NL,26,33,5,6.25,3.37,60,45,3,3,534.0,630,375,200,7,58,92,1.288,1.55,0.12,313,43,0.883,24.2,CHC
1876,NL,52,14,1,3.89,1.76,66,58,9,4,592.1,608,257,116,6,29,51,1.075,0.77,0.09,282,33,0.899,25.1,CHC
2023,AL Central,61,101,4,5.19,4.87,162,2,7,28,1431.2,1372,841,774,214,654,1470,1.415,9.24,1.35,95,117,0.983,29.2,CHW
2022,AL Central,81,81,2,4.43,3.92,162,2,14,48,1447.2,1330,717,631,166,533,1450,1.287,9.01,1.03,102,122,0.982,29.6,CHW
2021,AL Central,93,69,1,3.93,3.73,162,4,13,43,1403.1,1205,636,581,182,485,1588,1.204,10.18,1.17,97,112,0.982,28.3,CHW
2020,AL Central,35,25,3,4.1,3.81,60,1,6,13,527.0,448,246,223,71,217,523,1.262,8.93,1.21,38,48,0.982,27.6,CHW
2019,AL Central,72,89,3,5.17,4.9,161,6,7,33,1412.2,1438,832,769,238,582,1312,1.43,8.36,1.52,117,171,0.98,27.6,CHW
2018,AL Central,62,100,4,5.23,4.83,162,0,8,34,1437.0,1404,848,771,196,653,1259,1.431,7.89,1.23,114,135,0.981,27.6,CHW
2017,AL Central,67,95,4,5.06,4.78,162,0,3,25,1421.2,1384,820,755,242,632,1193,1.418,7.55,1.53,114,157,0.981,28.7,CHW
2016,AL Central,78,84,4,4.41,4.1,162,7,10,43,1446.2,1422,715,659,185,521,1270,1.343,7.9,1.15,95,148,0.984,28.6,CHW
2015,AL Central,76,86,4,4.33,3.98,162,7,9,37,1452.2,1443,701,643,162,474,1359,1.32,8.42,1.0,101,159,0.983,27.8,CHW
2014,AL Central,73,89,4,4.68,4.29,162,3,6,36,1441.0,1468,758,687,140,557,1152,1.405,7.2,0.87,107,170,0.982,27.4,CHW
2013,AL Central,63,99,5,4.46,3.98,162,5,5,40,1455.0,1424,723,643,182,509,1249,1.329,7.73,1.13,121,155,0.98,27.1,CHW
2012,AL Central,85,77,2,4.17,4.02,162,6,11,37,1445.2,1365,676,646,186,503,1246,1.292,7.76,1.16,70,154,0.988,27.5,CHW
2011,AL Central,79,83,3,4.36,4.1,162,6,14,42,1460.0,1463,706,665,147,439,1220,1.303,7.52,0.91,79,129,0.987,28.5,CHW
2010,AL Central,88,74,2,4.35,4.09,162,6,11,43,1446.1,1471,704,658,136,490,1149,1.356,7.15,0.85,103,158,0.983,29.0,CHW
2009,AL Central,79,83,3,4.52,4.14,162,4,11,36,1439.2,1438,732,663,169,507,1119,1.351,7.0,1.06,113,158,0.981,29.5,CHW
2008,AL Central,89,74,1,4.47,4.06,163,4,10,34,1457.2,1471,729,658,156,460,1147,1.325,7.08,0.96,108,155,0.983,28.3,CHW
2007,AL Central,72,90,4,5.18,4.77,162,9,9,42,1440.2,1556,839,763,174,499,1015,1.426,6.34,1.09,108,168,0.982,27.7,CHW
2006,AL Central,90,72,3,4.9,4.61,162,5,11,46,1449.0,1534,794,743,200,433,1012,1.357,6.29,1.24,90,145,0.985,27.9,CHW
2005,AL Central,99,63,1,3.98,3.61,162,9,10,54,1475.2,1392,645,592,167,459,1040,1.254,6.34,1.02,94,166,0.985,29.3,CHW
2004,AL Central,83,79,2,5.13,4.91,162,8,8,34,1432.1,1505,831,782,224,527,1013,1.419,6.37,1.41,100,167,0.984,28.2,CHW
2003,AL Central,86,76,2,4.41,4.17,162,12,4,36,1431.0,1364,715,663,162,518,1056,1.315,6.64,1.02,93,154,0.984,27.9,CHW
2002,AL Central,81,81,2,4.93,4.53,162,7,7,35,1423.0,1422,798,716,190,528,945,1.37,5.98,1.2,97,157,0.984,25.8,CHW
2001,AL Central,83,79,3,4.91,4.55,162,8,9,51,1433.1,1465,795,725,181,500,921,1.371,5.78,1.14,118,149,0.981,26.2,CHW
2000,AL Central,95,67,1,5.18,4.66,162,5,7,43,1450.1,1509,839,751,195,614,1037,1.464,6.44,1.21,133,190,0.978,26.5,CHW
1999,AL Central,75,86,2,5.37,4.92,162,6,3,39,1438.1,1608,870,786,210,596,968,1.532,6.06,1.31,136,149,0.977,26.4,CHW
1998,AL Central,80,82,2,5.71,5.22,163,8,4,42,1438.2,1569,931,835,211,580,911,1.494,5.7,1.32,140,161,0.977,26.4,CHW
1997,AL Central,80,81,2,5.17,4.73,161,6,7,52,1422.1,1505,833,748,175,575,961,1.462,6.08,1.11,127,131,0.978,29.4,CHW
1996,AL Central,85,77,2,4.9,4.52,162,7,4,43,1461.0,1529,794,733,174,616,1039,1.468,6.4,1.07,109,145,0.982,27.8,CHW
1995,AL Central,68,76,3,5.23,4.85,145,12,4,36,1284.2,1374,758,693,164,617,892,1.55,6.25,1.15,108,131,0.98,27.6,CHW
1994,AL Central,67,46,1,4.41,3.96,113,13,9,20,1011.1,964,498,445,115,377,754,1.326,6.71,1.02,79,91,0.981,28.2,CHW
1993,AL West,94,68,1,4.1,3.7,162,16,11,48,1454.0,1398,664,598,125,566,974,1.351,6.03,0.77,112,153,0.982,26.6,CHW
1992,AL West,86,76,3,4.26,3.82,162,21,5,52,1461.2,1400,690,621,123,550,810,1.334,4.99,0.76,129,134,0.979,28.9,CHW
1991,AL West,87,75,2,4.2,3.79,162,28,8,40,1478.0,1302,681,622,154,601,923,1.288,5.62,0.94,116,151,0.982,26.7,CHW
1990,AL West,94,68,2,3.91,3.61,162,17,10,68,1449.1,1313,633,581,106,548,914,1.284,5.68,0.66,124,169,0.98,24.9,CHW
1989,AL West,69,92,7,4.66,4.23,161,9,5,46,1422.0,1472,750,668,144,539,778,1.414,4.92,0.91,151,176,0.975,26.4,CHW
1988,AL West,71,90,5,4.7,4.12,161,11,9,43,1439.0,1467,757,659,138,533,754,1.39,4.72,0.86,154,177,0.976,26.6,CHW
1987,AL West,77,85,5,4.6,4.3,162,29,12,37,1447.2,1436,746,691,189,537,792,1.363,4.92,1.17,116,174,0.981,27.6,CHW
1986,AL West,72,90,5,4.31,3.93,162,18,8,38,1442.1,1361,699,630,143,561,895,1.333,5.58,0.89,117,142,0.981,28.1,CHW
1985,AL West,85,77,3,4.42,4.07,163,20,8,39,1451.2,1411,720,656,161,569,1023,1.364,6.34,1.0,111,152,0.982,28.7,CHW
1984,AL West,74,88,5,4.54,4.13,162,43,9,32,1454.1,1416,736,668,155,483,840,1.306,5.2,0.96,122,160,0.981,29.7,CHW
1983,AL West,99,63,1,4.01,3.67,162,35,12,48,1445.1,1355,650,589,128,447,877,1.247,5.46,0.8,120,158,0.981,28.7,CHW
1982,AL West,87,75,3,4.38,3.87,162,30,10,41,1439.0,1502,710,618,99,460,753,1.363,4.71,0.62,154,173,0.976,27.5,CHW
1981,AL West,54,52,3,3.99,3.47,106,20,8,23,940.2,891,423,363,73,336,529,1.304,5.06,0.7,87,113,0.979,25.4,CHW
1980,AL West,70,90,5,4.46,3.92,162,32,12,42,1435.1,1434,722,625,108,563,724,1.391,4.54,0.68,171,162,0.973,24.7,CHW
1979,AL West,73,87,5,4.68,4.1,160,28,9,37,1409.0,1365,748,642,114,618,675,1.407,4.31,0.73,173,142,0.972,25.5,CHW
1978,AL West,71,90,5,4.54,4.21,161,38,9,33,1409.1,1380,731,660,128,586,710,1.395,4.53,0.82,139,130,0.977,28.5,CHW
1977,AL West,90,72,3,4.76,4.25,162,34,3,40,1444.2,1557,771,682,136,516,842,1.435,5.25,0.85,159,125,0.974,27.3,CHW
1976,AL West,64,97,6,4.63,4.25,161,54,10,22,1448.0,1460,745,684,87,600,802,1.423,4.98,0.54,130,155,0.979,25.8,CHW
1975,AL West,75,86,5,4.37,3.93,161,34,7,39,1452.1,1489,703,634,107,655,799,1.476,4.95,0.66,140,155,0.978,30.8,CHW
1974,AL West,80,80,4,4.42,3.94,163,55,11,29,1465.2,1470,721,641,103,548,826,1.377,5.07,0.63,147,188,0.977,28.2,CHW
1973,AL West,77,85,5,4.35,3.86,162,48,15,35,1456.0,1484,705,625,110,574,848,1.413,5.24,0.68,144,165,0.977,27.6,CHW
1972,AL West,87,67,2,3.49,3.12,154,36,14,42,1385.1,1269,538,480,94,431,936,1.227,6.08,0.61,135,136,0.977,26.0,CHW
1971,AL West,79,83,3,3.69,3.12,162,46,19,32,1450.1,1348,597,503,100,468,976,1.252,6.06,0.62,160,128,0.975,25.9,CHW
1970,AL West,56,106,6,5.07,4.54,162,20,6,30,1430.1,1554,822,722,164,556,762,1.475,4.79,1.03,165,187,0.975,27.0,CHW
1969,AL West,68,94,5,4.46,4.21,162,29,10,25,1437.2,1470,723,672,146,564,810,1.415,5.07,0.91,122,163,0.981,28.4,CHW
1968,AL,67,95,8,3.25,2.75,162,20,11,40,1468.0,1290,527,448,97,451,834,1.186,5.11,0.59,151,152,0.977,29.7,CHW
1967,AL,89,73,4,3.03,2.45,162,36,24,39,1490.1,1197,491,406,87,465,927,1.115,5.6,0.53,138,149,0.979,28.8,CHW
1966,AL,83,79,4,3.17,2.68,163,38,22,34,1475.1,1229,517,440,101,403,896,1.106,5.47,0.62,159,149,0.976,27.8,CHW
1965,AL,95,67,2,3.43,2.99,162,21,14,53,1481.2,1261,555,493,122,460,946,1.162,5.75,0.74,127,156,0.98,27.8,CHW
1964,AL,98,64,2,3.09,2.72,162,44,20,45,1467.2,1216,501,444,124,401,955,1.102,5.86,0.76,122,164,0.981,29.1,CHW
1963,AL,94,68,2,3.36,2.97,162,49,21,40,1469.0,1311,544,485,100,440,932,1.192,5.71,0.61,131,163,0.979,28.5,CHW
1962,AL,85,77,5,4.06,3.73,162,50,13,28,1451.2,1380,658,602,123,537,821,1.321,5.09,0.76,110,153,0.982,29.2,CHW
1961,AL,86,76,4,4.45,4.06,163,39,3,33,1448.2,1491,726,653,158,498,814,1.373,5.06,0.98,128,138,0.98,31.6,CHW
1960,AL,87,67,3,4.01,3.6,154,41,11,26,1381.0,1338,617,553,127,533,695,1.355,4.53,0.83,109,175,0.982,32.0,CHW
1959,AL,94,60,1,3.77,3.29,156,44,13,37,1425.1,1297,588,521,129,525,761,1.278,4.81,0.81,130,141,0.979,31.6,CHW
1958,AL,82,72,2,3.97,3.61,155,55,15,24,1389.2,1296,615,557,152,515,751,1.303,4.86,0.98,114,160,0.981,32.4,CHW
1957,AL,90,64,2,3.65,3.35,155,59,16,26,1401.2,1305,566,521,124,470,665,1.266,4.27,0.8,107,169,0.982,30.9,CHW
1956,AL,85,69,3,4.12,3.73,154,65,11,13,1389.0,1351,634,575,118,524,722,1.35,4.68,0.76,122,160,0.979,31.5,CHW
1955,AL,91,63,3,3.59,3.37,155,55,20,26,1378.0,1301,557,516,111,497,720,1.305,4.7,0.72,111,147,0.981,30.8,CHW
1954,AL,94,60,3,3.36,3.05,155,60,23,34,1383.0,1255,521,469,94,517,701,1.281,4.56,0.61,108,149,0.982,30.5,CHW
1953,AL,89,65,3,3.79,3.41,156,57,17,32,1403.2,1299,592,532,113,583,714,1.341,4.58,0.72,125,144,0.98,30.2,CHW
1952,AL,81,73,3,3.64,3.25,156,53,15,28,1416.2,1251,568,512,86,578,774,1.291,4.92,0.55,123,158,0.98,29.4,CHW
1951,AL,81,73,4,4.15,3.5,155,74,11,14,1418.1,1353,644,552,109,549,572,1.341,3.63,0.69,151,176,0.975,29.0,CHW
1950,AL,60,94,6,4.8,4.41,156,62,7,9,1365.2,1370,749,669,107,734,566,1.541,3.73,0.71,140,181,0.977,28.2,CHW
1949,AL,63,91,6,4.79,4.3,154,57,10,17,1363.1,1362,737,651,108,693,502,1.507,3.31,0.71,141,180,0.977,27.8,CHW
1948,AL,51,101,8,5.29,4.89,154,35,2,23,1345.2,1454,814,731,89,673,403,1.581,2.7,0.6,160,176,0.974,28.5,CHW
1947,AL,70,84,6,4.26,3.64,155,47,11,27,1391.0,1384,661,562,76,603,522,1.428,3.38,0.49,155,180,0.975,30.8,CHW
1946,AL,74,80,5,3.84,3.1,155,62,9,16,1392.1,1348,595,479,80,508,550,1.333,3.56,0.52,175,170,0.972,30.9,CHW
1945,AL,71,78,6,4.22,3.69,150,84,13,13,1330.2,1400,633,546,63,448,486,1.389,3.29,0.43,180,139,0.97,31.1,CHW
1944,AL,71,83,7,4.3,3.58,154,64,5,17,1390.2,1411,662,553,68,420,481,1.317,3.11,0.44,183,154,0.97,29.3,CHW
1943,AL,82,72,4,3.83,3.2,155,70,12,19,1400.1,1352,594,498,54,501,476,1.323,3.06,0.35,166,167,0.973,29.3,CHW
